Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           420.0,        14.000,         27.398,         1.50996             
2,     30,           4480.0,       149.333,        125.191,        2.87624             
3,     30,           10280.0,      342.667,        175.403,        3.70154             
4,     30,           3900.0,       130.000,        138.444,        4.04008             
5,     30,           5260.0,       175.333,        142.799,        5.48955             
6,     30,           5740.0,       191.333,        110.837,        6.39441             
7,     30,           9240.0,       308.000,        268.954,        6.22539             
8,     30,           16680.0,      556.000,        276.328,        6.25595             
9,     30,           16660.0,      555.333,        295.508,        6.45196             
10,    30,           10900.0,      363.333,        180.006,        7.09245             
11,    30,           17780.0,      592.667,        365.859,        6.7409              
12,    30,           26100.0,      870.000,        347.668,        7.14033             
13,    30,           31560.0,      1052.000,       488.087,        7.06254             
14,    30,           16260.0,      542.000,        275.262,        6.87357             
15,    30,           9560.0,       318.667,        169.228,        6.75777             
16,    30,           30360.0,      1012.000,       400.353,        6.91042             
17,    30,           19840.0,      661.333,        299.196,        6.77788             
18,    30,           22840.0,      761.333,        343.315,        7.34519             
19,    30,           33180.0,      1106.000,       504.728,        7.56748             
20,    30,           16220.0,      540.667,        345.002,        7.74811             
21,    30,           16940.0,      564.667,        389.211,        8.36416             
22,    30,           38340.0,      1278.000,       607.275,        8.7131              
23,    30,           24360.0,      812.000,        379.600,        9.37403             
24,    30,           38500.0,      1283.333,       726.234,        10.1606             
25,    30,           35260.0,      1175.333,       464.433,        10.5407             
26,    30,           29760.0,      992.000,        434.468,        10.2681             
27,    30,           42540.0,      1418.000,       672.475,        11.0732             
28,    30,           34700.0,      1156.667,       547.164,        11.3784             
29,    30,           30300.0,      1010.000,       628.177,        11.657              
30,    30,           63860.0,      2128.667,       845.359,        12.161              
31,    30,           26940.0,      898.000,        473.662,        12.8009             
32,    30,           37540.0,      1251.333,       757.781,        13.0008             
33,    30,           40600.0,      1353.333,       899.205,        13.8255             
34,    30,           18320.0,      610.667,        312.953,        13.9653             
35,    30,           39480.0,      1316.000,       696.762,        13.4556             
36,    30,           35140.0,      1171.333,       584.550,        13.9622             
37,    30,           38420.0,      1280.667,       621.171,        13.7172             
38,    30,           30780.0,      1026.000,       473.713,        14.955              
39,    30,           45240.0,      1508.000,       704.927,        14.7471             
40,    30,           44660.0,      1488.667,       582.539,        15.7737             
41,    30,           18240.0,      608.000,        343.612,        16.2851             
42,    30,           48000.0,      1600.000,       776.213,        16.2806             
43,    30,           29080.0,      969.333,        592.098,        16.9485             
44,    30,           55000.0,      1833.333,       695.132,        17.173              
45,    30,           37200.0,      1240.000,       601.554,        17.3008             
