Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           6830.0,       227.667,        127.944,        1.62763             
2,     30,           2340.0,       78.000,         69.012,         2.15591             
3,     30,           5395.0,       179.833,        75.724,         2.84945             
4,     30,           3595.0,       119.833,        74.201,         3.2994              
5,     30,           2500.0,       83.333,         73.963,         3.7447              
6,     30,           3355.0,       111.833,        22.748,         4.05349             
7,     30,           10525.0,      350.833,        144.465,        3.93646             
8,     30,           10200.0,      340.000,        126.491,        4.1483              
9,     30,           5895.0,       196.500,        101.744,        4.33918             
10,    30,           3825.0,       127.500,        79.924,         5.35724             
11,    30,           2800.0,       93.333,         70.004,         5.59963             
12,    30,           7830.0,       261.000,        96.388,         5.4303              
13,    30,           7870.0,       262.333,        194.202,        5.68657             
14,    30,           8140.0,       271.333,        90.489,         5.53558             
15,    30,           7450.0,       248.333,        125.122,        5.88029             
16,    30,           7245.0,       241.500,        123.195,        5.79637             
17,    30,           11960.0,      398.667,        127.717,        6.17862             
18,    30,           11410.0,      380.333,        176.087,        5.93872             
19,    30,           10100.0,      336.667,        120.418,        6.15354             
20,    30,           6870.0,       229.000,        113.383,        6.44045             
21,    30,           14460.0,      482.000,        154.216,        6.7066              
22,    30,           11530.0,      384.333,        163.955,        6.76842             
23,    30,           11775.0,      392.500,        117.095,        6.64917             
24,    30,           14090.0,      469.667,        136.027,        6.82048             
25,    30,           12825.0,      427.500,        144.815,        6.67848             
26,    30,           9835.0,       327.833,        170.683,        6.62256             
27,    30,           14105.0,      470.167,        134.111,        6.65088             
28,    30,           15180.0,      506.000,        193.612,        6.78566             
29,    30,           13260.0,      442.000,        185.156,        6.85406             
30,    30,           17170.0,      572.333,        162.961,        7.31268             
31,    30,           16115.0,      537.167,        138.092,        7.71118             
32,    30,           14970.0,      499.000,        156.154,        7.59871             
33,    30,           16120.0,      537.333,        177.678,        7.61495             
34,    30,           15075.0,      502.500,        121.441,        7.26116             
35,    30,           12000.0,      400.000,        169.302,        7.26762             
36,    30,           16480.0,      549.333,        176.775,        7.0521              
37,    30,           12835.0,      427.833,        161.150,        7.10305             
38,    30,           13100.0,      436.667,        179.719,        7.35229             
39,    30,           12965.0,      432.167,        146.086,        7.49836             
40,    30,           12470.0,      415.667,        119.260,        7.63986             
41,    30,           12595.0,      419.833,        163.898,        7.58021             
42,    30,           14555.0,      485.167,        143.315,        7.46493             
43,    30,           16755.0,      558.500,        119.709,        7.7112              
44,    30,           7600.0,       253.333,        172.445,        7.77061             
45,    30,           15920.0,      530.667,        136.105,        7.63371             
46,    30,           15640.0,      521.333,        161.575,        7.6908              
47,    30,           15340.0,      511.333,        187.927,        7.30762             
48,    30,           15450.0,      515.000,        172.197,        7.65226             
49,    30,           11805.0,      393.500,        137.811,        7.62278             
50,    30,           13740.0,      458.000,        180.728,        7.94305             
51,    30,           14050.0,      468.333,        159.579,        8.00615             
