Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           4070.0,       135.667,        84.180,         1.20358             
2,     30,           15780.0,      526.000,        438.548,        2.06452             
3,     30,           6620.0,       220.667,        154.374,        2.54913             
4,     30,           1815.0,       60.500,         35.505,         2.98692             
5,     30,           31965.0,      1065.500,       730.189,        3.40436             
6,     30,           44285.0,      1476.167,       1073.093,       3.76826             
7,     30,           113585.0,     3786.167,       1045.453,       4.21851             
8,     30,           99745.0,      3324.833,       911.379,        4.24169             
9,     30,           56785.0,      1892.833,       1034.400,       4.8036              
10,    30,           22745.0,      758.167,        754.697,        5.34358             
11,    30,           54420.0,      1814.000,       1453.207,       5.49237             
12,    30,           75555.0,      2518.500,       1287.663,       5.71938             
13,    30,           90410.0,      3013.667,       1573.097,       5.87801             
14,    30,           43595.0,      1453.167,       809.919,        6.17943             
15,    30,           12880.0,      429.333,        556.125,        6.31679             
16,    30,           68820.0,      2294.000,       1386.739,       6.1758              
17,    30,           52335.0,      1744.500,       1242.647,       6.26353             
18,    30,           62790.0,      2093.000,       1401.657,       6.69335             
19,    30,           57975.0,      1932.500,       1649.157,       6.71197             
20,    30,           70605.0,      2353.500,       1330.227,       6.7947              
21,    30,           64635.0,      2154.500,       1660.386,       7.13629             
22,    30,           5760.0,       192.000,        216.678,        7.03977             
23,    30,           41505.0,      1383.500,       1237.409,       7.02246             
24,    30,           37595.0,      1253.167,       992.375,        6.77661             
25,    30,           10990.0,      366.333,        364.463,        6.76229             
26,    30,           49855.0,      1661.833,       1359.842,       6.6199              
27,    30,           54690.0,      1823.000,       1476.377,       6.49316             
28,    30,           96985.0,      3232.833,       1658.502,       6.46381             
29,    30,           75020.0,      2500.667,       1349.321,       6.51456             
30,    30,           57555.0,      1918.500,       1229.549,       6.46383             
31,    30,           49540.0,      1651.333,       931.091,        6.55582             
32,    30,           81925.0,      2730.833,       1629.493,       6.57634             
33,    30,           17020.0,      567.333,        698.337,        6.48431             
34,    30,           51800.0,      1726.667,       1465.467,       6.42987             
35,    30,           72500.0,      2416.667,       1674.018,       6.68598             
36,    30,           32035.0,      1067.833,       920.407,        6.81447             
37,    30,           34775.0,      1159.167,       796.378,        6.60452             
38,    30,           90030.0,      3001.000,       1679.860,       6.59978             
39,    30,           44450.0,      1481.667,       892.361,        6.63509             
40,    30,           58590.0,      1953.000,       1150.881,       6.50417             
41,    30,           59735.0,      1991.167,       1692.897,       6.44614             
42,    30,           27755.0,      925.167,        888.303,        6.26682             
43,    30,           40615.0,      1353.833,       1157.694,       6.0767              
44,    30,           78925.0,      2630.833,       1493.673,       6.11705             
45,    30,           23210.0,      773.667,        767.710,        5.87521             
46,    30,           41045.0,      1368.167,       1365.760,       5.89035             
47,    30,           57710.0,      1923.667,       1718.629,       5.93799             
48,    30,           41845.0,      1394.833,       1427.145,       6.04105             
49,    30,           15640.0,      521.333,        659.978,        6.26894             
50,    30,           70585.0,      2352.833,       1451.695,       6.68112             
51,    30,           82800.0,      2760.000,       1218.198,       6.8427              
52,    30,           41020.0,      1367.333,       1612.240,       6.80662             
53,    30,           49000.0,      1633.333,       1612.950,       6.60005             
54,    30,           38835.0,      1294.500,       1128.276,       6.50892             
55,    30,           4840.0,       161.333,        116.497,        6.56518             
56,    30,           68070.0,      2269.000,       1556.888,       6.66284             
57,    30,           73985.0,      2466.167,       1895.461,       7.00309             
58,    30,           4705.0,       156.833,        93.242,         6.95614             
59,    30,           11580.0,      386.000,        642.114,        6.92491             
60,    30,           38435.0,      1281.167,       1301.977,       6.88875             
61,    30,           94360.0,      3145.333,       1785.065,       6.73576             
62,    30,           53630.0,      1787.667,       1166.400,       6.67632             
63,    30,           114295.0,     3809.833,       1681.343,       6.51962             
64,    30,           42630.0,      1421.000,       965.763,        6.5806              
65,    30,           76095.0,      2536.500,       1450.757,       6.68842             
66,    30,           41675.0,      1389.167,       1306.954,       6.64703             
67,    30,           50280.0,      1676.000,       1148.996,       6.78421             
68,    30,           38955.0,      1298.500,       1088.665,       6.65517             
69,    30,           13120.0,      437.333,        566.208,        6.77091             
70,    30,           46860.0,      1562.000,       1143.956,       6.99452             
71,    30,           103210.0,     3440.333,       1665.772,       7.04449             
72,    30,           74120.0,      2470.667,       1967.217,       7.21044             
73,    30,           71405.0,      2380.167,       1597.258,       7.12509             
74,    30,           3575.0,       119.167,        111.789,        6.98639             
75,    30,           38540.0,      1284.667,       867.079,        7.00616             
76,    30,           81615.0,      2720.500,       1295.927,       7.16759             
77,    30,           4025.0,       134.167,        144.101,        7.01381             
78,    30,           18980.0,      632.667,        647.666,        6.97089             
79,    30,           22550.0,      751.667,        650.041,        6.89088             
80,    30,           81590.0,      2719.667,       1927.676,       6.82997             
