Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           5070.0,       169.000,        80.709,         1.06181             
2,     30,           5540.0,       184.667,        166.378,        1.97124             
3,     30,           6250.0,       208.333,        139.262,        2.56387             
4,     30,           12450.0,      415.000,        377.911,        3.10275             
5,     30,           27475.0,      915.833,        564.080,        3.79088             
6,     30,           30575.0,      1019.167,       725.895,        4.00056             
7,     30,           37195.0,      1239.833,       1021.029,       4.45804             
8,     30,           41025.0,      1367.500,       1041.576,       4.72059             
9,     30,           3230.0,       107.667,        53.021,         4.96165             
10,    30,           55900.0,      1863.333,       1337.743,       5.34471             
11,    30,           29650.0,      988.333,        914.486,        5.5637              
12,    30,           30715.0,      1023.833,       903.854,        5.83589             
13,    30,           2690.0,       89.667,         35.070,         5.75988             
14,    30,           22330.0,      744.333,        671.036,        5.84438             
15,    30,           60350.0,      2011.667,       1556.911,       6.2288              
16,    30,           8480.0,       282.667,        430.383,        6.20236             
17,    30,           36710.0,      1223.667,       780.489,        6.38235             
18,    30,           59510.0,      1983.667,       1526.993,       6.41538             
19,    30,           87860.0,      2928.667,       1139.167,       6.41213             
20,    30,           32220.0,      1074.000,       1199.433,       6.40789             
21,    30,           21925.0,      730.833,        483.980,        6.47573             
22,    30,           50160.0,      1672.000,       1185.878,       6.37903             
23,    30,           32010.0,      1067.000,       976.399,        6.3524              
24,    30,           28010.0,      933.667,        911.546,        6.31989             
25,    30,           39605.0,      1320.167,       899.626,        6.05579             
26,    30,           55655.0,      1855.167,       1629.009,       5.90281             
27,    30,           60040.0,      2001.333,       1435.014,       6.06554             
28,    30,           34900.0,      1163.333,       1086.479,       6.06801             
29,    30,           11260.0,      375.333,        791.158,        6.03372             
30,    30,           91430.0,      3047.667,       1313.403,       6.18237             
31,    30,           69980.0,      2332.667,       1567.543,       6.09322             
32,    30,           43345.0,      1444.833,       1104.597,       6.10894             
33,    30,           57560.0,      1918.667,       1520.751,       6.13189             
34,    30,           35020.0,      1167.333,       886.543,        6.08538             
35,    30,           25715.0,      857.167,        1115.603,       6.15117             
36,    30,           37815.0,      1260.500,       809.057,        6.08936             
37,    30,           51280.0,      1709.333,       1367.994,       6.14208             
38,    30,           43250.0,      1441.667,       895.968,        6.25715             
39,    30,           106435.0,     3547.833,       1548.903,       6.42299             
40,    30,           38305.0,      1276.833,       853.010,        6.39922             
41,    30,           8850.0,       295.000,        885.926,        6.22002             
42,    30,           79515.0,      2650.500,       1364.766,       6.28477             
43,    30,           112735.0,     3757.833,       2071.833,       6.14082             
44,    30,           108335.0,     3611.167,       1504.284,       6.16439             
45,    30,           74025.0,      2467.500,       1050.224,       6.20979             
46,    30,           64090.0,      2136.333,       1515.174,       6.49447             
47,    30,           12710.0,      423.667,        368.626,        6.86049             
48,    30,           59640.0,      1988.000,       1369.971,       6.84616             
49,    30,           61210.0,      2040.333,       1623.939,       6.75057             
50,    30,           70070.0,      2335.667,       1017.265,       6.48592             
51,    30,           42535.0,      1417.833,       1092.771,       6.23847             
52,    30,           78435.0,      2614.500,       1943.418,       6.56765             
53,    30,           118615.0,     3953.833,       1660.895,       6.62223             
54,    30,           48350.0,      1611.667,       1589.769,       6.64035             
55,    30,           10185.0,      339.500,        440.561,        6.66047             
56,    30,           66815.0,      2227.167,       1060.917,       6.96766             
57,    30,           42770.0,      1425.667,       905.729,        6.67055             
58,    30,           83190.0,      2773.000,       1730.843,       6.65962             
59,    30,           109780.0,     3659.333,       1432.190,       6.76036             
60,    30,           72180.0,      2406.000,       1609.589,       6.76122             
61,    30,           27175.0,      905.833,        1054.814,       6.70223             
62,    30,           26370.0,      879.000,        912.371,        6.60533             
63,    30,           86630.0,      2887.667,       1858.762,       6.5131              
64,    30,           24685.0,      822.833,        554.448,        6.76142             
65,    30,           86175.0,      2872.500,       1664.544,       6.5061              
66,    30,           8125.0,       270.833,        396.756,        6.81768             
67,    30,           8870.0,       295.667,        198.325,        6.90205             
68,    30,           30110.0,      1003.667,       913.112,        7.26558             
69,    30,           49610.0,      1653.667,       1351.223,       7.2527              
70,    30,           63100.0,      2103.333,       1355.790,       6.98672             
71,    30,           101480.0,     3382.667,       1667.561,       7.12578             
72,    30,           75480.0,      2516.000,       1384.851,       7.17241             
73,    30,           36290.0,      1209.667,       1238.669,       7.0586              
74,    30,           63610.0,      2120.333,       1371.937,       6.86087             
75,    30,           44320.0,      1477.333,       1101.145,       6.93806             
76,    30,           53540.0,      1784.667,       1093.053,       7.24813             
77,    30,           11935.0,      397.833,        197.702,        7.24205             
78,    30,           81315.0,      2710.500,       1863.407,       7.00931             
79,    30,           59565.0,      1985.500,       1243.139,       6.94618             
80,    30,           35960.0,      1198.667,       1190.965,       6.8709              
81,    30,           31500.0,      1050.000,       790.653,        6.91                
82,    30,           15475.0,      515.833,        604.650,        6.70505             
83,    30,           47870.0,      1595.667,       1311.227,       6.61165             
84,    30,           27275.0,      909.167,        1001.506,       6.64802             
85,    30,           46090.0,      1536.333,       1582.423,       6.70555             
86,    30,           26415.0,      880.500,        837.350,        6.80566             
87,    30,           35470.0,      1182.333,       1062.753,       6.93981             
88,    30,           13610.0,      453.667,        722.737,        6.85128             
89,    30,           53510.0,      1783.667,       1377.103,       6.90633             
90,    30,           41785.0,      1392.833,       1253.422,       6.93322             
91,    30,           8005.0,       266.833,        309.692,        6.73232             
92,    30,           19775.0,      659.167,        927.966,        6.86979             
93,    30,           66460.0,      2215.333,       1530.941,       6.72986             
94,    30,           50955.0,      1698.500,       1298.873,       6.98529             
95,    30,           15685.0,      522.833,        1011.622,       6.8867              
96,    30,           50410.0,      1680.333,       1454.716,       6.96557             
97,    30,           19620.0,      654.000,        511.223,        6.76101             
98,    30,           27530.0,      917.667,        658.838,        6.55446             
99,    30,           77940.0,      2598.000,       1454.574,       6.56621             
100,   30,           60140.0,      2004.667,       1617.451,       6.48575             
101,   30,           81405.0,      2713.500,       1897.262,       6.41925             
102,   30,           93725.0,      3124.167,       2017.238,       6.55035             
103,   30,           39845.0,      1328.167,       1309.183,       6.83612             
104,   30,           55760.0,      1858.667,       1255.775,       6.82638             
105,   30,           36370.0,      1212.333,       1458.328,       6.76411             
106,   30,           53140.0,      1771.333,       1961.953,       6.79529             
107,   30,           57945.0,      1931.500,       1319.119,       6.80015             
108,   30,           58045.0,      1934.833,       1206.421,       6.62497             
109,   30,           58815.0,      1960.500,       1525.513,       6.69569             
110,   30,           12040.0,      401.333,        863.800,        6.60919             
111,   30,           60540.0,      2018.000,       1712.817,       6.91214             
112,   30,           68350.0,      2278.333,       1374.803,       6.93294             
113,   30,           20110.0,      670.333,        1058.069,       6.83623             
114,   30,           29770.0,      992.333,        1052.491,       6.73353             
115,   30,           17735.0,      591.167,        1033.566,       6.53168             
116,   30,           56520.0,      1884.000,       1236.772,       6.50625             
117,   30,           71120.0,      2370.667,       1495.729,       6.37596             
118,   30,           73300.0,      2443.333,       1587.623,       6.38278             
119,   30,           44035.0,      1467.833,       1269.438,       6.53919             
120,   30,           69895.0,      2329.833,       1327.347,       6.8489              
121,   30,           47430.0,      1581.000,       1010.681,       6.64848             
122,   30,           71880.0,      2396.000,       1376.931,       6.73595             
123,   30,           25865.0,      862.167,        960.971,        6.70978             
124,   30,           131430.0,     4381.000,       1498.761,       6.4846              
125,   30,           135520.0,     4517.333,       1613.859,       6.65984             
126,   30,           25940.0,      864.667,        976.586,        6.77585             
127,   30,           129695.0,     4323.167,       1405.063,       6.71243             
128,   30,           22455.0,      748.500,        800.836,        6.77193             
129,   30,           11225.0,      374.167,        305.800,        6.71691             
130,   30,           103530.0,     3451.000,       1724.614,       6.45183             
131,   30,           41060.0,      1368.667,       1109.937,       6.58956             
132,   30,           57960.0,      1932.000,       1299.676,       6.51201             
133,   30,           2300.0,       76.667,         26.373,         6.53616             
134,   30,           30305.0,      1010.167,       898.971,        6.63655             
135,   30,           33660.0,      1122.000,       616.169,        6.53604             
136,   30,           2705.0,       90.167,         67.410,         6.50269             
137,   30,           10685.0,      356.167,        431.879,        6.50113             
138,   30,           85360.0,      2845.333,       1525.644,       6.63669             
139,   30,           32480.0,      1082.667,       1405.532,       6.60989             
140,   30,           8095.0,       269.833,        495.635,        6.68186             
141,   30,           1885.0,       62.833,         45.013,         6.58381             
142,   30,           123480.0,     4116.000,       2120.945,       6.53752             
143,   30,           90645.0,      3021.500,       1849.705,       6.53879             
144,   30,           48645.0,      1621.500,       1346.276,       6.45301             
145,   30,           50325.0,      1677.500,       1217.152,       6.56393             
146,   30,           82685.0,      2756.167,       2058.972,       6.284               
147,   30,           71025.0,      2367.500,       1410.859,       6.29619             
148,   30,           52490.0,      1749.667,       1174.605,       6.28051             
149,   30,           110695.0,     3689.833,       1879.066,       6.40107             
150,   30,           66010.0,      2200.333,       1677.993,       6.40235             
151,   30,           100065.0,     3335.500,       2104.985,       6.42121             
152,   30,           36685.0,      1222.833,       1377.749,       6.49048             
153,   30,           39310.0,      1310.333,       1165.696,       6.39282             
154,   30,           39900.0,      1330.000,       865.845,        6.36983             
155,   30,           66120.0,      2204.000,       1135.037,       6.43077             
156,   30,           65135.0,      2171.167,       1595.166,       6.64775             
157,   30,           32170.0,      1072.333,       1439.806,       6.6642              
158,   30,           84210.0,      2807.000,       1488.664,       6.54649             
159,   30,           145365.0,     4845.500,       1636.618,       6.86489             
160,   30,           57305.0,      1910.167,       1646.578,       6.78878             
161,   30,           45745.0,      1524.833,       1303.802,       6.84506             
162,   30,           60565.0,      2018.833,       1536.050,       6.63574             
163,   30,           53245.0,      1774.833,       1169.291,       6.82032             
164,   30,           75455.0,      2515.167,       1493.955,       6.79699             
165,   30,           103815.0,     3460.500,       1818.914,       6.70595             
166,   30,           24175.0,      805.833,        616.094,        6.63939             
167,   30,           25305.0,      843.500,        713.738,        6.7366              
168,   30,           59500.0,      1983.333,       1252.142,       6.55824             
169,   30,           75160.0,      2505.333,       1544.153,       6.50241             
170,   30,           75025.0,      2500.833,       1713.803,       6.68974             
171,   30,           76860.0,      2562.000,       1759.750,       6.69226             
172,   30,           49195.0,      1639.833,       1793.866,       6.77808             
173,   30,           46530.0,      1551.000,       1474.782,       6.9437              
174,   30,           46455.0,      1548.500,       1362.308,       7.1742              
175,   30,           33265.0,      1108.833,       1113.454,       7.20558             
176,   30,           29775.0,      992.500,        826.197,        7.19863             
177,   30,           62505.0,      2083.500,       1347.895,       7.16207             
178,   30,           38270.0,      1275.667,       1231.485,       6.77786             
179,   30,           95455.0,      3181.833,       1880.181,       6.81247             
180,   30,           33480.0,      1116.000,       1426.301,       7.02085             
181,   30,           99290.0,      3309.667,       1578.586,       6.92159             
182,   30,           85485.0,      2849.500,       1753.961,       7.07041             
183,   30,           28200.0,      940.000,        999.527,        7.10348             
184,   30,           30680.0,      1022.667,       603.199,        6.88099             
185,   30,           52220.0,      1740.667,       1457.642,       6.77371             
186,   30,           96450.0,      3215.000,       1553.597,       6.84419             
187,   30,           70595.0,      2353.167,       1789.285,       6.90391             
188,   30,           30150.0,      1005.000,       1612.402,       7.01568             
189,   30,           27965.0,      932.167,        1000.913,       7.04727             
190,   30,           27205.0,      906.833,        504.124,        6.94304             
191,   30,           32130.0,      1071.000,       1406.534,       6.79907             
192,   30,           111140.0,     3704.667,       1980.711,       6.95667             
193,   30,           48235.0,      1607.833,       1456.201,       7.08037             
194,   30,           52485.0,      1749.500,       1193.798,       7.30803             
195,   30,           21235.0,      707.833,        868.495,        7.16121             
196,   30,           2975.0,       99.167,         60.403,         7.05914             
197,   30,           45915.0,      1530.500,       949.835,        6.92882             
198,   30,           87145.0,      2904.833,       1560.603,       6.93426             
199,   30,           61095.0,      2036.500,       1132.480,       6.78729             
200,   30,           67705.0,      2256.833,       1469.656,       6.6275              
