Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           5200.0,       173.333,        86.365,         1.06535             
2,     30,           4665.0,       155.500,        104.645,        1.88067             
3,     30,           1580.0,       52.667,         50.789,         2.5878              
4,     30,           7420.0,       247.333,        160.222,        3.12216             
5,     30,           9310.0,       310.333,        167.715,        3.79602             
6,     30,           4040.0,       134.667,        85.478,         3.67663             
7,     30,           5880.0,       196.000,        130.941,        4.24944             
8,     30,           5755.0,       191.833,        115.719,        4.55193             
9,     30,           3835.0,       127.833,        83.473,         4.93858             
10,    30,           6485.0,       216.167,        122.737,        5.0184              
11,    30,           6750.0,       225.000,        121.168,        5.41522             
12,    30,           9270.0,       309.000,        97.966,         5.83209             
13,    30,           10440.0,      348.000,        160.860,        6.21374             
14,    30,           11965.0,      398.833,        132.870,        6.46448             
15,    30,           13535.0,      451.167,        172.185,        6.64512             
16,    30,           10380.0,      346.000,        169.717,        6.87517             
17,    30,           10035.0,      334.500,        169.152,        7.3238              
18,    30,           7880.0,       262.667,        147.720,        7.5989              
19,    30,           12930.0,      431.000,        186.223,        7.85977             
20,    30,           9820.0,       327.333,        136.685,        7.87588             
21,    30,           11665.0,      388.833,        116.510,        7.5962              
22,    30,           10205.0,      340.167,        120.578,        8.05914             
23,    30,           11205.0,      373.500,        164.996,        8.14316             
24,    30,           15805.0,      526.833,        167.185,        8.22987             
25,    30,           11580.0,      386.000,        118.648,        8.03849             
26,    30,           12270.0,      409.000,        158.021,        8.06556             
27,    30,           12760.0,      425.333,        136.296,        8.36747             
28,    30,           11050.0,      368.333,        140.032,        8.45911             
29,    30,           8615.0,       287.167,        122.927,        8.6311              
30,    30,           16615.0,      553.833,        130.369,        8.82795             
31,    30,           12895.0,      429.833,        128.805,        8.75007             
32,    30,           14535.0,      484.500,        161.804,        8.6939              
33,    30,           10660.0,      355.333,        114.782,        8.74951             
34,    30,           14555.0,      485.167,        173.505,        8.93745             
35,    30,           14540.0,      484.667,        187.714,        9.03317             
36,    30,           9060.0,       302.000,        188.116,        8.91173             
37,    30,           13120.0,      437.333,        130.695,        8.74179             
38,    30,           13205.0,      440.167,        144.669,        8.88614             
39,    30,           12710.0,      423.667,        167.386,        8.88067             
40,    30,           7945.0,       264.833,        152.313,        8.87996             
41,    30,           9325.0,       310.833,        134.568,        8.91016             
42,    30,           14705.0,      490.167,        234.839,        9.32003             
43,    30,           12950.0,      431.667,        177.296,        8.99646             
44,    30,           13010.0,      433.667,        144.954,        9.10507             
45,    30,           16345.0,      544.833,        111.859,        9.10706             
46,    30,           12805.0,      426.833,        111.523,        9.18127             
47,    30,           6130.0,       204.333,        93.262,         9.03515             
48,    30,           11530.0,      384.333,        152.232,        9.36594             
49,    30,           11735.0,      391.167,        150.785,        9.75208             
50,    30,           9715.0,       323.833,        143.989,        9.44749             
51,    30,           14345.0,      478.167,        114.829,        9.46211             
52,    30,           11750.0,      391.667,        163.480,        9.63584             
53,    30,           17320.0,      577.333,        161.512,        9.25867             
54,    30,           13360.0,      445.333,        151.393,        9.50422             
55,    30,           16340.0,      544.667,        151.514,        9.92264             
56,    30,           10550.0,      351.667,        164.966,        9.81015             
57,    30,           13025.0,      434.167,        117.595,        9.35942             
58,    30,           13950.0,      465.000,        150.737,        9.9013              
59,    30,           11990.0,      399.667,        110.845,        9.67141             
60,    30,           16790.0,      559.667,        150.000,        9.6971              
61,    30,           16575.0,      552.500,        150.691,        9.87245             
62,    30,           12645.0,      421.500,        152.469,        10.2754             
63,    30,           15855.0,      528.500,        188.565,        10.0798             
64,    30,           8895.0,       296.500,        101.621,        10.0064             
65,    30,           12120.0,      404.000,        179.060,        10.2613             
66,    30,           15780.0,      526.000,        128.701,        9.9902              
67,    30,           14820.0,      494.000,        121.822,        9.59787             
68,    30,           14370.0,      479.000,        209.720,        10.2195             
69,    30,           12525.0,      417.500,        102.557,        10.0155             
70,    30,           16230.0,      541.000,        171.898,        9.89129             
71,    30,           16395.0,      546.500,        190.950,        9.86459             
72,    30,           14870.0,      495.667,        162.556,        10.0706             
73,    30,           8210.0,       273.667,        130.620,        9.79552             
74,    30,           17405.0,      580.167,        171.918,        10.2327             
75,    30,           17325.0,      577.500,        141.443,        10.4068             
76,    30,           16070.0,      535.667,        103.221,        10.2571             
77,    30,           15200.0,      506.667,        123.695,        10.0478             
78,    30,           13200.0,      440.000,        131.377,        10.0327             
79,    30,           14270.0,      475.667,        184.922,        10.0542             
80,    30,           14185.0,      472.833,        100.860,        9.87367             
81,    30,           13855.0,      461.833,        145.210,        9.71726             
82,    30,           14920.0,      497.333,        136.007,        9.60307             
83,    30,           14305.0,      476.833,        185.295,        9.90634             
84,    30,           14520.0,      484.000,        126.796,        9.6361              
85,    30,           12055.0,      401.833,        152.962,        9.61675             
86,    30,           11350.0,      378.333,        101.549,        9.42513             
87,    30,           15895.0,      529.833,        153.262,        9.43443             
88,    30,           14945.0,      498.167,        153.598,        9.51173             
89,    30,           12045.0,      401.500,        151.372,        9.30815             
90,    30,           12795.0,      426.500,        124.098,        9.63458             
91,    30,           14000.0,      466.667,        108.477,        9.52554             
92,    30,           12420.0,      414.000,        162.005,        9.33142             
93,    30,           15745.0,      524.833,        195.501,        9.29118             
94,    30,           8700.0,       290.000,        147.383,        9.34118             
95,    30,           11910.0,      397.000,        140.188,        9.55077             
96,    30,           12100.0,      403.333,        119.236,        9.44151             
97,    30,           17110.0,      570.333,        153.155,        9.13015             
98,    30,           12060.0,      402.000,        135.176,        8.92143             
99,    30,           13960.0,      465.333,        157.982,        9.06343             
100,   30,           7340.0,       244.667,        163.768,        9.22587             
101,   30,           14810.0,      493.667,        92.448,         8.98066             
102,   30,           12555.0,      418.500,        195.462,        9.12079             
103,   30,           13180.0,      439.333,        127.728,        9.24586             
104,   30,           17670.0,      589.000,        184.817,        9.24236             
105,   30,           13260.0,      442.000,        169.138,        9.22248             
106,   30,           15925.0,      530.833,        131.162,        9.09613             
107,   30,           9805.0,       326.833,        142.094,        8.63467             
108,   30,           15295.0,      509.833,        153.772,        8.91058             
109,   30,           16470.0,      549.000,        161.046,        8.52291             
110,   30,           17580.0,      586.000,        162.046,        8.70146             
111,   30,           17045.0,      568.167,        138.350,        8.77907             
112,   30,           13355.0,      445.167,        141.112,        8.35477             
113,   30,           12970.0,      432.333,        181.249,        8.49639             
114,   30,           10755.0,      358.500,        172.487,        8.85529             
115,   30,           13240.0,      441.333,        181.291,        9.03445             
116,   30,           13220.0,      440.667,        103.624,        9.09544             
117,   30,           14210.0,      473.667,        200.728,        9.29869             
118,   30,           15135.0,      504.500,        129.521,        8.96082             
119,   30,           15640.0,      521.333,        167.436,        9.19795             
120,   30,           11425.0,      380.833,        177.069,        9.28291             
121,   30,           12955.0,      431.833,        113.141,        9.37134             
122,   30,           14650.0,      488.333,        143.500,        9.03118             
123,   30,           15515.0,      517.167,        185.350,        8.7878              
124,   30,           16530.0,      551.000,        198.878,        8.79638             
125,   30,           14595.0,      486.500,        183.440,        9.13017             
126,   30,           17025.0,      567.500,        125.345,        8.82501             
127,   30,           17330.0,      577.667,        135.547,        8.29875             
128,   30,           16640.0,      554.667,        138.305,        8.20842             
129,   30,           14735.0,      491.167,        101.896,        7.92387             
130,   30,           17960.0,      598.667,        174.207,        8.15736             
131,   30,           13185.0,      439.500,        144.628,        8.62193             
132,   30,           13815.0,      460.500,        171.052,        8.6106              
133,   30,           15720.0,      524.000,        109.121,        8.61939             
134,   30,           10360.0,      345.333,        95.034,         8.54371             
135,   30,           16410.0,      547.000,        147.510,        8.23784             
136,   30,           8895.0,       296.500,        142.057,        8.10481             
137,   30,           12740.0,      424.667,        196.430,        7.98978             
138,   30,           13490.0,      449.667,        150.072,        8.17237             
139,   30,           15335.0,      511.167,        166.532,        8.11596             
140,   30,           15160.0,      505.333,        154.261,        7.92858             
141,   30,           14270.0,      475.667,        205.263,        8.22435             
142,   30,           12205.0,      406.833,        178.739,        8.28545             
143,   30,           9910.0,       330.333,        166.232,        8.03003             
144,   30,           15110.0,      503.667,        145.756,        8.07741             
145,   30,           16850.0,      561.667,        133.525,        8.1807              
146,   30,           8540.0,       284.667,        156.594,        8.01256             
147,   30,           17745.0,      591.500,        216.430,        8.47169             
148,   30,           14535.0,      484.500,        213.094,        8.38169             
149,   30,           17670.0,      589.000,        155.774,        8.41554             
150,   30,           16420.0,      547.333,        142.289,        8.40854             
151,   30,           12855.0,      428.500,        128.790,        8.45724             
152,   30,           16720.0,      557.333,        164.893,        8.47351             
153,   30,           14805.0,      493.500,        103.675,        8.20569             
154,   30,           13590.0,      453.000,        182.445,        8.43592             
155,   30,           15980.0,      532.667,        130.593,        8.24608             
156,   30,           14680.0,      489.333,        143.560,        8.27827             
157,   30,           13865.0,      462.167,        189.199,        8.15733             
158,   30,           14250.0,      475.000,        150.615,        7.97192             
159,   30,           13280.0,      442.667,        198.791,        8.02078             
160,   30,           14470.0,      482.333,        176.954,        7.77509             
161,   30,           15400.0,      513.333,        204.203,        7.69623             
162,   30,           16825.0,      560.833,        155.537,        7.68504             
163,   30,           12480.0,      416.000,        147.147,        7.58232             
164,   30,           15585.0,      519.500,        136.133,        7.67105             
165,   30,           15390.0,      513.000,        172.514,        7.68383             
166,   30,           12600.0,      420.000,        178.816,        7.92179             
167,   30,           16150.0,      538.333,        135.397,        7.71225             
168,   30,           15375.0,      512.500,        173.555,        7.75183             
169,   30,           14985.0,      499.500,        153.239,        7.66913             
170,   30,           15935.0,      531.167,        161.362,        7.72224             
171,   30,           17960.0,      598.667,        111.385,        7.50878             
172,   30,           16625.0,      554.167,        128.557,        7.43975             
173,   30,           19500.0,      650.000,        115.087,        7.84375             
174,   30,           19545.0,      651.500,        191.929,        7.56938             
175,   30,           15225.0,      507.500,        165.317,        7.30192             
176,   30,           11300.0,      376.667,        157.403,        7.51243             
177,   30,           16440.0,      548.000,        132.826,        7.60241             
178,   30,           14170.0,      472.333,        181.102,        7.42009             
179,   30,           15270.0,      509.000,        176.934,        7.32476             
180,   30,           13470.0,      449.000,        153.441,        7.59265             
181,   30,           16805.0,      560.167,        119.809,        7.46103             
182,   30,           19230.0,      641.000,        196.186,        7.42099             
183,   30,           17120.0,      570.667,        115.792,        7.38768             
184,   30,           15695.0,      523.167,        205.323,        7.35365             
185,   30,           17510.0,      583.667,        105.853,        7.31425             
186,   30,           17220.0,      574.000,        185.452,        7.01904             
