Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           5065.0,       168.833,        98.393,         1.026               
2,     30,           4435.0,       147.833,        69.314,         1.97331             
3,     30,           7275.0,       242.500,        110.881,        2.77602             
4,     30,           1260.0,       42.000,         32.031,         3.0187              
5,     30,           7370.0,       245.667,        128.340,        3.65291             
6,     30,           7390.0,       246.333,        71.355,         3.71401             
7,     30,           7775.0,       259.167,        123.842,        3.36486             
8,     30,           8030.0,       267.667,        108.118,        3.84967             
9,     30,           8995.0,       299.833,        93.937,         4.73847             
10,    30,           6410.0,       213.667,        151.679,        4.79667             
11,    30,           8240.0,       274.667,        119.478,        5.36142             
12,    30,           6110.0,       203.667,        130.454,        5.76318             
13,    30,           10845.0,      361.500,        114.994,        5.91167             
14,    30,           8220.0,       274.000,        70.314,         5.98764             
15,    30,           10085.0,      336.167,        150.531,        6.19145             
16,    30,           9560.0,       318.667,        193.920,        6.51449             
17,    30,           13190.0,      439.667,        147.676,        6.8215              
18,    30,           10510.0,      350.333,        157.363,        6.92115             
19,    30,           8825.0,       294.167,        105.278,        7.40291             
20,    30,           11730.0,      391.000,        171.019,        7.58568             
21,    30,           1860.0,       62.000,         63.870,         8.01559             
22,    30,           14055.0,      468.500,        195.031,        8.27198             
23,    30,           11075.0,      369.167,        163.804,        8.38909             
24,    30,           10850.0,      361.667,        124.896,        8.23445             
25,    30,           12705.0,      423.500,        140.897,        8.2068              
26,    30,           11285.0,      376.167,        156.544,        8.33137             
27,    30,           10000.0,      333.333,        182.681,        8.48002             
28,    30,           9545.0,       318.167,        168.159,        8.73026             
29,    30,           11650.0,      388.333,        163.617,        9.05599             
30,    30,           10330.0,      344.333,        124.865,        9.06585             
31,    30,           14235.0,      474.500,        191.765,        9.14636             
32,    30,           8445.0,       281.500,        160.899,        8.83734             
33,    30,           13525.0,      450.833,        145.666,        8.72523             
34,    30,           12890.0,      429.667,        150.576,        9.0094              
35,    30,           12195.0,      406.500,        164.135,        9.07058             
36,    30,           13100.0,      436.667,        156.633,        8.95521             
37,    30,           17795.0,      593.167,        154.599,        8.90325             
38,    30,           9805.0,       326.833,        141.371,        8.86593             
39,    30,           17590.0,      586.333,        183.943,        8.70429             
40,    30,           14640.0,      488.000,        176.359,        8.8704              
41,    30,           13685.0,      456.167,        168.487,        8.90663             
42,    30,           13945.0,      464.833,        170.819,        8.83509             
43,    30,           15530.0,      517.667,        159.236,        8.76738             
44,    30,           14680.0,      489.333,        153.643,        8.62699             
45,    30,           14990.0,      499.667,        167.237,        8.44345             
46,    30,           13300.0,      443.333,        174.209,        8.64648             
47,    30,           11505.0,      383.500,        133.286,        8.33661             
48,    30,           13490.0,      449.667,        164.590,        8.6178              
49,    30,           11650.0,      388.333,        141.211,        8.66204             
50,    30,           12755.0,      425.167,        158.417,        8.79525             
51,    30,           15855.0,      528.500,        158.173,        8.63866             
52,    30,           13105.0,      436.833,        147.843,        8.90403             
53,    30,           12135.0,      404.500,        151.109,        9.01678             
54,    30,           16250.0,      541.667,        137.358,        8.90973             
55,    30,           14185.0,      472.833,        166.677,        8.88465             
56,    30,           14835.0,      494.500,        175.999,        8.5266              
57,    30,           16055.0,      535.167,        115.351,        8.31534             
58,    30,           12965.0,      432.167,        152.925,        8.62346             
59,    30,           12485.0,      416.167,        136.819,        8.18392             
60,    30,           15930.0,      531.000,        142.023,        8.52039             
61,    30,           14670.0,      489.000,        169.088,        8.48636             
62,    30,           11890.0,      396.333,        150.482,        8.72071             
63,    30,           10515.0,      350.500,        164.683,        8.76099             
64,    30,           14685.0,      489.500,        158.972,        8.97562             
65,    30,           14815.0,      493.833,        114.947,        9.00307             
66,    30,           17290.0,      576.333,        129.736,        8.99894             
67,    30,           13115.0,      437.167,        198.157,        8.99867             
68,    30,           15665.0,      522.167,        144.647,        9.18244             
69,    30,           10660.0,      355.333,        115.715,        8.43504             
70,    30,           13100.0,      436.667,        133.668,        8.81793             
71,    30,           14965.0,      498.833,        165.120,        8.72447             
72,    30,           9845.0,       328.167,        163.031,        8.73597             
73,    30,           16940.0,      564.667,        116.654,        8.95081             
74,    30,           15660.0,      522.000,        134.973,        8.71907             
75,    30,           15160.0,      505.333,        142.290,        9.19875             
76,    30,           15960.0,      532.000,        185.776,        8.74365             
77,    30,           13070.0,      435.667,        127.179,        8.98181             
78,    30,           13020.0,      434.000,        167.911,        9.44019             
79,    30,           12555.0,      418.500,        139.769,        9.00601             
80,    30,           10510.0,      350.333,        238.184,        8.96085             
81,    30,           14570.0,      485.667,        188.170,        8.80609             
82,    30,           13400.0,      446.667,        153.858,        8.49318             
83,    30,           13175.0,      439.167,        167.283,        8.18951             
84,    30,           11925.0,      397.500,        140.236,        8.55983             
85,    30,           15470.0,      515.667,        181.992,        7.96439             
86,    30,           14540.0,      484.667,        180.282,        8.89394             
87,    30,           17570.0,      585.667,        141.726,        9.183               
88,    30,           14995.0,      499.833,        166.476,        9.43533             
89,    30,           8930.0,       297.667,        146.945,        9.40596             
90,    30,           17865.0,      595.500,        97.462,         8.7193              
91,    30,           14335.0,      477.833,        173.790,        9.60971             
92,    30,           15930.0,      531.000,        172.208,        9.14514             
93,    30,           14895.0,      496.500,        150.986,        9.21714             
