Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           3855.0,       128.500,        105.666,        1.11194             
2,     30,           5070.0,       169.000,        84.305,         1.9052              
3,     30,           8275.0,       275.833,        122.597,        2.97212             
4,     30,           960.0,        32.000,         38.201,         3.80785             
5,     30,           8115.0,       270.500,        146.847,        4.04446             
6,     30,           1055.0,       35.167,         30.290,         4.20392             
7,     30,           4980.0,       166.000,        104.534,        4.72705             
8,     30,           7070.0,       235.667,        142.441,        5.1404              
9,     30,           6370.0,       212.333,        104.728,        5.39021             
10,    30,           7285.0,       242.833,        121.001,        5.38585             
11,    30,           7015.0,       233.833,        97.730,         5.6226              
12,    30,           6530.0,       217.667,        100.256,        5.91217             
13,    30,           4075.0,       135.833,        122.625,        6.33791             
14,    30,           10115.0,      337.167,        123.448,        6.64681             
15,    30,           9330.0,       311.000,        136.329,        6.95955             
16,    30,           3755.0,       125.167,        83.731,         7.15457             
17,    30,           11515.0,      383.833,        125.981,        6.97188             
18,    30,           10935.0,      364.500,        150.412,        6.90748             
19,    30,           7400.0,       246.667,        128.364,        7.12766             
20,    30,           15560.0,      518.667,        134.182,        7.08347             
21,    30,           12705.0,      423.500,        167.984,        6.83392             
22,    30,           7930.0,       264.333,        120.566,        7.3308              
23,    30,           10005.0,      333.500,        109.431,        7.1881              
24,    30,           13340.0,      444.667,        129.961,        7.19608             
25,    30,           12295.0,      409.833,        150.208,        7.49816             
26,    30,           11730.0,      391.000,        155.212,        7.68109             
27,    30,           9310.0,       310.333,        129.968,        7.58197             
28,    30,           14425.0,      480.833,        173.974,        7.59648             
29,    30,           10125.0,      337.500,        122.520,        7.93867             
30,    30,           12535.0,      417.833,        160.726,        7.95335             
31,    30,           12365.0,      412.167,        151.848,        7.72302             
32,    30,           15000.0,      500.000,        254.133,        7.89944             
33,    30,           11875.0,      395.833,        179.982,        7.76259             
34,    30,           15730.0,      524.333,        165.704,        7.58051             
35,    30,           16835.0,      561.167,        176.912,        7.66601             
36,    30,           13505.0,      450.167,        123.831,        7.73327             
37,    30,           13650.0,      455.000,        157.692,        7.78506             
38,    30,           13575.0,      452.500,        132.286,        7.591               
39,    30,           15560.0,      518.667,        134.039,        7.4579              
40,    30,           15410.0,      513.667,        180.430,        7.65519             
41,    30,           15045.0,      501.500,        155.194,        7.6765              
42,    30,           15745.0,      524.833,        168.609,        7.64457             
43,    30,           15450.0,      515.000,        178.410,        7.48878             
44,    30,           16445.0,      548.167,        186.804,        7.61387             
45,    30,           10650.0,      355.000,        130.154,        7.60211             
46,    30,           16135.0,      537.833,        222.211,        7.75634             
47,    30,           16555.0,      551.833,        200.888,        7.97601             
