Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -630.0,       -21.000,        0.000,          0.546724            
2,     30,           -630.0,       -21.000,        0.000,          0.970512            
3,     30,           -615.0,       -20.500,        0.922,          1.24529             
4,     30,           -630.0,       -21.000,        0.000,          1.33893             
5,     30,           -630.0,       -21.000,        0.000,          1.55739             
6,     30,           -628.0,       -20.933,        0.249,          1.85363             
7,     30,           -624.0,       -20.800,        0.400,          1.84034             
8,     30,           -627.0,       -20.900,        0.300,          1.90577             
9,     30,           -627.0,       -20.900,        0.300,          2.10262             
10,    30,           -552.0,       -18.400,        2.200,          2.84275             
11,    30,           -630.0,       -21.000,        0.000,          3.42183             
12,    30,           -628.0,       -20.933,        0.359,          3.79907             
13,    30,           -543.0,       -18.100,        1.758,          4.23439             
14,    30,           -561.0,       -18.700,        1.487,          4.81513             
15,    30,           -481.0,       -16.033,        4.037,          5.21125             
16,    30,           -575.0,       -19.167,        1.485,          5.36592             
17,    30,           -630.0,       -21.000,        0.000,          5.23771             
18,    30,           -630.0,       -21.000,        0.000,          5.49154             
19,    30,           -486.0,       -16.200,        2.971,          5.43359             
20,    30,           -613.0,       -20.433,        1.086,          5.15448             
21,    30,           -545.0,       -18.167,        1.655,          4.92286             
22,    30,           -630.0,       -21.000,        0.000,          4.82693             
23,    30,           -492.0,       -16.400,        3.169,          4.68829             
24,    30,           -607.0,       -20.233,        0.761,          4.72667             
25,    30,           -591.0,       -19.700,        1.735,          4.55278             
26,    30,           -580.0,       -19.333,        2.712,          4.25754             
27,    30,           -627.0,       -20.900,        0.396,          3.97738             
28,    30,           -559.0,       -18.633,        1.643,          3.93115             
29,    30,           -519.0,       -17.300,        2.369,          3.89392             
30,    30,           -518.0,       -17.267,        1.896,          3.81221             
31,    30,           -531.0,       -17.700,        1.552,          3.66666             
32,    30,           -589.0,       -19.633,        1.643,          3.47617             
33,    30,           -456.0,       -15.200,        5.461,          3.32415             
34,    30,           -567.0,       -18.900,        1.700,          3.28751             
35,    30,           -541.0,       -18.033,        2.213,          3.30368             
36,    30,           -614.0,       -20.467,        0.806,          3.40554             
37,    30,           -527.0,       -17.567,        2.011,          3.29129             
38,    30,           -587.0,       -19.567,        1.892,          2.99984             
39,    30,           -627.0,       -20.900,        0.300,          3.18449             
40,    30,           -474.0,       -15.800,        3.978,          3.21703             
41,    30,           -588.0,       -19.600,        1.356,          3.2723              
42,    30,           -571.0,       -19.033,        1.140,          2.89954             
43,    30,           -513.0,       -17.100,        2.982,          3.02819             
44,    30,           -542.0,       -18.067,        2.205,          2.84934             
45,    30,           -547.0,       -18.233,        3.030,          2.94755             
46,    30,           -510.0,       -17.000,        3.194,          2.89127             
47,    30,           -525.0,       -17.500,        2.460,          2.83369             
48,    30,           -565.0,       -18.833,        1.695,          2.89003             
49,    30,           -553.0,       -18.433,        2.376,          2.93097             
50,    30,           -579.0,       -19.300,        1.005,          2.83677             
51,    30,           -492.0,       -16.400,        3.460,          2.82774             
52,    30,           -555.0,       -18.500,        1.708,          2.59766             
53,    30,           -462.0,       -15.400,        3.040,          2.56818             
54,    30,           -509.0,       -16.967,        2.359,          2.5823              
55,    30,           -548.0,       -18.267,        2.097,          2.61149             
56,    30,           -500.0,       -16.667,        1.955,          2.83595             
57,    30,           -549.0,       -18.300,        1.754,          2.88966             
58,    30,           -545.0,       -18.167,        2.544,          2.79444             
59,    30,           -590.0,       -19.667,        1.350,          2.76651             
60,    30,           -463.0,       -15.433,        2.729,          2.89066             
61,    30,           -381.0,       -12.700,        9.832,          2.68863             
62,    30,           -506.0,       -16.867,        2.306,          2.60402             
63,    30,           -469.0,       -15.633,        3.391,          2.67672             
64,    30,           -472.0,       -15.733,        3.098,          2.40443             
65,    30,           -630.0,       -21.000,        0.000,          2.5116              
66,    30,           -560.0,       -18.667,        1.680,          2.40711             
67,    30,           -503.0,       -16.767,        1.542,          2.48829             
68,    30,           -530.0,       -17.667,        2.211,          2.56407             
69,    30,           -609.0,       -20.300,        0.900,          2.52179             
70,    30,           -502.0,       -16.733,        2.112,          2.54473             
71,    30,           -494.0,       -16.467,        2.262,          2.41832             
72,    30,           -480.0,       -16.000,        2.708,          2.79492             
73,    30,           -488.0,       -16.267,        2.065,          2.29479             
74,    30,           -497.0,       -16.567,        3.095,          2.49758             
75,    30,           -592.0,       -19.733,        1.340,          2.48737             
76,    30,           -450.0,       -15.000,        2.366,          2.63536             
77,    30,           -528.0,       -17.600,        1.925,          2.29482             
78,    30,           -617.0,       -20.567,        0.667,          2.64537             
79,    30,           -574.0,       -19.133,        1.384,          2.43033             
80,    30,           -494.0,       -16.467,        2.349,          2.25586             
81,    30,           -528.0,       -17.600,        2.564,          2.41872             
82,    30,           -575.0,       -19.167,        1.695,          2.61323             
83,    30,           -506.0,       -16.867,        1.893,          2.47081             
84,    30,           -618.0,       -20.600,        0.800,          2.54232             
85,    30,           -523.0,       -17.433,        2.604,          2.83761             
86,    30,           -553.0,       -18.433,        2.093,          2.44069             
87,    30,           -534.0,       -17.800,        2.833,          2.73657             
88,    30,           -444.0,       -14.800,        3.637,          2.69445             
89,    30,           -503.0,       -16.767,        2.404,          2.67158             
90,    30,           -518.0,       -17.267,        2.323,          2.56703             
91,    30,           -509.0,       -16.967,        2.057,          2.4144              
92,    30,           -534.0,       -17.800,        3.400,          2.60471             
93,    30,           -528.0,       -17.600,        2.403,          2.49271             
94,    30,           -571.0,       -19.033,        3.199,          2.25165             
95,    30,           -516.0,       -17.200,        3.059,          2.49041             
96,    30,           -513.0,       -17.100,        2.737,          2.19868             
97,    30,           -509.0,       -16.967,        2.359,          2.7343              
98,    30,           -557.0,       -18.567,        2.186,          1.94936             
99,    30,           -579.0,       -19.300,        1.394,          2.41106             
100,   30,           -572.0,       -19.067,        1.413,          2.48994             
101,   30,           -472.0,       -15.733,        4.479,          2.48712             
102,   30,           -534.0,       -17.800,        2.857,          2.696               
103,   30,           -402.0,       -13.400,        3.536,          2.67592             
104,   30,           -504.0,       -16.800,        2.315,          2.87305             
105,   30,           -395.0,       -13.167,        2.945,          2.68446             
106,   30,           -496.0,       -16.533,        2.377,          2.24411             
107,   30,           -435.0,       -14.500,        2.553,          2.60257             
108,   30,           -630.0,       -21.000,        0.000,          2.41473             
109,   30,           -478.0,       -15.933,        2.874,          2.84731             
110,   30,           -525.0,       -17.500,        2.930,          2.53503             
111,   30,           -541.0,       -18.033,        2.213,          2.76368             
112,   30,           -492.0,       -16.400,        2.894,          2.92921             
113,   30,           -517.0,       -17.233,        4.609,          2.50388             
114,   30,           -545.0,       -18.167,        2.596,          2.53343             
115,   30,           -522.0,       -17.400,        2.123,          2.99636             
116,   30,           -480.0,       -16.000,        2.595,          2.6703              
117,   30,           -583.0,       -19.433,        2.155,          2.52                
118,   30,           -505.0,       -16.833,        2.659,          2.38454             
119,   30,           -584.0,       -19.467,        1.746,          2.76693             
120,   30,           -442.0,       -14.733,        3.678,          2.58179             
121,   30,           -540.0,       -18.000,        1.826,          3.00515             
122,   30,           -499.0,       -16.633,        2.846,          2.95274             
123,   30,           -624.0,       -20.800,        0.542,          2.91672             
124,   30,           -523.0,       -17.433,        2.825,          2.60754             
125,   30,           -502.0,       -16.733,        3.434,          2.89088             
126,   30,           -492.0,       -16.400,        2.361,          2.85222             
127,   30,           -478.0,       -15.933,        3.864,          3.10191             
128,   30,           -494.0,       -16.467,        2.630,          3.04166             
129,   30,           -512.0,       -17.067,        1.879,          3.13879             
130,   30,           -460.0,       -15.333,        3.458,          3.20729             
131,   30,           -515.0,       -17.167,        2.237,          2.8534              
132,   30,           -505.0,       -16.833,        2.353,          3.20561             
133,   30,           -533.0,       -17.767,        2.276,          2.997               
134,   30,           -190.0,       -6.333,         14.691,         3.00559             
135,   30,           -509.0,       -16.967,        2.689,          2.97947             
136,   30,           -572.0,       -19.067,        1.672,          3.33588             
137,   30,           -500.0,       -16.667,        2.413,          2.78148             
138,   30,           -477.0,       -15.900,        2.521,          3.08357             
139,   30,           -473.0,       -15.767,        2.093,          2.91887             
140,   30,           -477.0,       -15.900,        2.625,          3.55524             
141,   30,           -498.0,       -16.600,        2.800,          2.96845             
142,   30,           -461.0,       -15.367,        2.961,          3.30144             
143,   30,           -520.0,       -17.333,        2.006,          3.1823              
144,   30,           -583.0,       -19.433,        1.820,          2.57506             
145,   30,           -441.0,       -14.700,        3.814,          3.41061             
146,   30,           -504.0,       -16.800,        1.904,          3.0362              
147,   30,           -501.0,       -16.700,        2.354,          3.83123             
148,   30,           -547.0,       -18.233,        2.261,          3.53608             
149,   30,           -585.0,       -19.500,        1.784,          3.60318             
150,   30,           -515.0,       -17.167,        2.051,          4.11166             
151,   30,           -525.0,       -17.500,        2.247,          3.97453             
152,   30,           -388.0,       -12.933,        3.286,          3.75539             
153,   30,           -520.0,       -17.333,        2.071,          3.2388              
154,   30,           -499.0,       -16.633,        3.093,          3.54994             
155,   30,           -565.0,       -18.833,        1.985,          3.91485             
156,   30,           -584.0,       -19.467,        2.790,          2.94292             
157,   30,           -520.0,       -17.333,        2.534,          3.10573             
158,   30,           -524.0,       -17.467,        2.986,          3.5921              
159,   30,           -555.0,       -18.500,        1.996,          4.27282             
160,   30,           -374.0,       -12.467,        6.495,          3.17406             
161,   30,           -531.0,       -17.700,        2.830,          3.36142             
162,   30,           -477.0,       -15.900,        2.587,          4.11106             
163,   30,           -442.0,       -14.733,        4.501,          3.81117             
164,   30,           -518.0,       -17.267,        4.041,          4.07101             
165,   30,           -452.0,       -15.067,        2.943,          4.43035             
166,   30,           -553.0,       -18.433,        2.825,          3.65663             
167,   30,           -527.0,       -17.567,        3.073,          3.49855             
168,   30,           -504.0,       -16.800,        2.197,          3.68012             
169,   30,           -562.0,       -18.733,        1.672,          3.9023              
170,   30,           -587.0,       -19.567,        1.257,          4.10847             
171,   30,           -546.0,       -18.200,        2.182,          4.19834             
172,   30,           -559.0,       -18.633,        2.273,          4.13688             
173,   30,           -582.0,       -19.400,        1.114,          3.93155             
174,   30,           -442.0,       -14.733,        4.057,          4.17437             
175,   30,           -495.0,       -16.500,        2.802,          4.24173             
176,   30,           -452.0,       -15.067,        4.640,          3.81802             
177,   30,           -533.0,       -17.767,        2.654,          4.4305              
178,   30,           -539.0,       -17.967,        2.316,          3.99047             
179,   30,           -540.0,       -18.000,        2.769,          4.38916             
180,   30,           -506.0,       -16.867,        2.217,          4.15965             
181,   30,           -630.0,       -21.000,        0.000,          4.21233             
182,   30,           -501.0,       -16.700,        2.685,          4.36309             
183,   30,           -568.0,       -18.933,        1.413,          4.44923             
184,   30,           -556.0,       -18.533,        2.217,          4.21195             
185,   30,           -475.0,       -15.833,        4.859,          4.26841             
186,   30,           -561.0,       -18.700,        2.283,          4.45773             
187,   30,           -504.0,       -16.800,        2.737,          4.39503             
188,   30,           -272.0,       -9.067,         10.960,         4.36463             
189,   30,           -535.0,       -17.833,        2.647,          4.52773             
190,   30,           -554.0,       -18.467,        1.821,          5.52773             
191,   30,           -625.0,       -20.833,        0.637,          4.51918             
192,   30,           -508.0,       -16.933,        2.337,          4.81976             
193,   30,           -546.0,       -18.200,        1.621,          4.68432             
194,   30,           -375.0,       -12.500,        3.990,          5.1661              
195,   30,           -541.0,       -18.033,        2.373,          4.93547             
196,   30,           -539.0,       -17.967,        1.779,          4.88795             
197,   30,           -600.0,       -20.000,        1.238,          5.46561             
198,   30,           -513.0,       -17.100,        2.103,          4.77796             
199,   30,           -616.0,       -20.533,        0.618,          4.09428             
200,   30,           -527.0,       -17.567,        2.305,          4.22808             
