Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           5835.0,       194.500,        119.710,        1.07277             
2,     30,           6330.0,       211.000,        138.302,        1.69914             
3,     30,           6650.0,       221.667,        133.967,        2.73308             
4,     30,           5380.0,       179.333,        110.813,        3.10194             
5,     30,           5060.0,       168.667,        74.609,         3.57596             
6,     30,           5625.0,       187.500,        97.123,         3.79608             
7,     30,           1905.0,       63.500,         41.113,         4.13695             
8,     30,           6860.0,       228.667,        86.717,         4.70551             
9,     30,           7765.0,       258.833,        129.439,        5.05406             
10,    30,           7600.0,       253.333,        143.865,        4.93741             
11,    30,           4780.0,       159.333,        63.780,         5.63152             
12,    30,           6105.0,       203.500,        98.642,         5.74271             
13,    30,           4290.0,       143.000,        69.553,         6.29197             
14,    30,           5550.0,       185.000,        89.275,         6.28609             
15,    30,           5425.0,       180.833,        79.740,         6.30624             
16,    30,           9840.0,       328.000,        117.009,        6.48618             
17,    30,           12145.0,      404.833,        173.337,        6.39163             
18,    30,           4885.0,       162.833,        115.316,        6.59252             
19,    30,           8170.0,       272.333,        111.510,        6.49778             
20,    30,           10695.0,      356.500,        179.973,        6.68065             
21,    30,           10070.0,      335.667,        122.948,        6.91295             
22,    30,           10590.0,      353.000,        132.945,        6.98253             
23,    30,           9600.0,       320.000,        125.053,        7.2138              
24,    30,           7410.0,       247.000,        111.315,        7.3297              
25,    30,           10710.0,      357.000,        130.936,        7.83307             
26,    30,           5095.0,       169.833,        87.326,         7.87145             
27,    30,           8015.0,       267.167,        95.897,         8.1686              
28,    30,           8930.0,       297.667,        145.641,        8.1915              
29,    30,           8130.0,       271.000,        101.796,        8.31808             
30,    30,           11840.0,      394.667,        150.698,        8.19685             
31,    30,           12500.0,      416.667,        165.581,        8.44463             
32,    30,           11495.0,      383.167,        164.638,        8.35667             
33,    30,           13365.0,      445.500,        178.234,        8.42735             
34,    30,           8795.0,       293.167,        162.504,        8.9083              
35,    30,           12155.0,      405.167,        92.812,         9.07286             
36,    30,           14020.0,      467.333,        145.286,        9.28532             
37,    30,           12355.0,      411.833,        165.260,        9.17315             
38,    30,           10685.0,      356.167,        166.281,        8.97705             
39,    30,           11320.0,      377.333,        129.227,        9.09896             
40,    30,           10415.0,      347.167,        155.497,        9.30112             
41,    30,           2930.0,       97.667,         70.955,         9.2042              
42,    30,           5325.0,       177.500,        123.671,        8.97341             
43,    30,           7730.0,       257.667,        120.393,        8.89074             
44,    30,           8695.0,       289.833,        133.644,        8.50652             
45,    30,           10040.0,      334.667,        122.072,        8.24263             
46,    30,           12790.0,      426.333,        110.800,        8.29991             
47,    30,           11965.0,      398.833,        167.390,        8.26899             
48,    30,           12060.0,      402.000,        135.096,        8.21535             
49,    30,           11750.0,      391.667,        145.341,        7.89057             
50,    30,           14085.0,      469.500,        120.467,        7.89654             
51,    30,           10695.0,      356.500,        157.375,        8.02959             
52,    30,           12400.0,      413.333,        170.198,        7.77654             
53,    30,           8550.0,       285.000,        213.358,        7.95304             
54,    30,           12195.0,      406.500,        152.808,        7.77675             
55,    30,           14565.0,      485.500,        179.969,        7.60857             
56,    30,           12550.0,      418.333,        161.335,        7.77235             
57,    30,           9220.0,       307.333,        150.459,        7.44785             
58,    30,           10730.0,      357.667,        167.186,        7.62264             
59,    30,           12645.0,      421.500,        123.505,        7.46284             
60,    30,           12820.0,      427.333,        143.415,        7.54945             
61,    30,           9440.0,       314.667,        109.893,        7.43016             
62,    30,           10185.0,      339.500,        143.215,        7.7992              
63,    30,           13650.0,      455.000,        140.635,        7.75247             
