Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           18.0,         0.600,          1.200,          0.94334             
2,     30,           6.0,          0.200,          0.653,          1.27547             
3,     30,           32.0,         1.067,          2.607,          1.54347             
4,     30,           0.0,          0.000,          0.000,          1.65061             
5,     30,           0.0,          0.000,          0.000,          1.7174              
6,     30,           69.0,         2.300,          4.244,          1.75675             
7,     30,           261.0,        8.700,          7.039,          2.12341             
8,     30,           699.0,        23.300,         13.136,         3.72092             
9,     30,           153.0,        5.100,          5.816,          5.55583             
10,    30,           303.0,        10.100,         7.739,          6.7121              
11,    30,           931.0,        31.033,         15.758,         8.53726             
12,    30,           1549.0,       51.633,         29.392,         9.4776              
13,    30,           555.0,        18.500,         13.992,         11.0739             
14,    30,           4415.0,       147.167,        22.983,         12.1757             
15,    30,           853.0,        28.433,         23.913,         13.5492             
16,    30,           3829.0,       127.633,        32.858,         15.2131             
17,    30,           732.0,        24.400,         14.511,         14.8041             
18,    30,           1755.0,       58.500,         29.000,         14.8256             
19,    30,           5147.0,       171.567,        33.420,         14.2821             
20,    30,           4067.0,       135.567,        29.388,         14.3615             
21,    30,           285.0,        9.500,          12.228,         14.4023             
22,    30,           5588.0,       186.267,        55.863,         14.0274             
23,    30,           3592.0,       119.733,        24.406,         14.7512             
24,    30,           2748.0,       91.600,         26.111,         14.8573             
25,    30,           4360.0,       145.333,        28.137,         15.5953             
26,    30,           3962.0,       132.067,        25.114,         15.2671             
27,    30,           4692.0,       156.400,        27.438,         14.4251             
28,    30,           6073.0,       202.433,        44.245,         14.923              
29,    30,           4265.0,       142.167,        43.333,         14.9366             
30,    30,           4820.0,       160.667,        29.438,         15.1561             
31,    30,           1413.0,       47.100,         28.347,         15.1689             
32,    30,           3665.0,       122.167,        34.203,         15.822              
33,    30,           6716.0,       223.867,        45.336,         15.5296             
34,    30,           4375.0,       145.833,        35.662,         16.3208             
35,    30,           4683.0,       156.100,        42.748,         16.039              
36,    30,           5269.0,       175.633,        56.653,         16.307              
37,    30,           6545.0,       218.167,        38.758,         16.77               
38,    30,           5457.0,       181.900,        38.790,         16.3154             
39,    30,           5143.0,       171.433,        36.183,         15.9976             
40,    30,           5614.0,       187.133,        47.416,         17.0818             
41,    30,           4583.0,       152.767,        31.721,         18.0019             
42,    30,           4034.0,       134.467,        38.098,         17.1414             
43,    30,           1006.0,       33.533,         31.254,         16.617              
44,    30,           5705.0,       190.167,        25.678,         16.6137             
45,    30,           7131.0,       237.700,        41.510,         17.1766             
46,    30,           3875.0,       129.167,        32.666,         16.837              
47,    30,           6113.0,       203.767,        37.394,         16.919              
48,    30,           5226.0,       174.200,        35.306,         16.64               
49,    30,           4126.0,       137.533,        16.774,         16.8261             
50,    30,           4524.0,       150.800,        34.602,         16.6881             
51,    30,           8144.0,       271.467,        29.394,         17.3915             
52,    30,           5566.0,       185.533,        34.447,         16.8616             
53,    30,           7708.0,       256.933,        33.509,         16.4451             
54,    30,           6695.0,       223.167,        60.559,         17.0452             
55,    30,           4113.0,       137.100,        49.545,         17.3567             
56,    30,           7302.0,       243.400,        46.034,         17.0473             
57,    30,           7415.0,       247.167,        36.301,         17.2629             
58,    30,           6724.0,       224.133,        48.065,         17.409              
59,    30,           6987.0,       232.900,        44.039,         17.3261             
60,    30,           7828.0,       260.933,        43.439,         17.6508             
61,    30,           5098.0,       169.933,        50.632,         17.7744             
62,    30,           3946.0,       131.533,        33.510,         17.5025             
63,    30,           4309.0,       143.633,        39.125,         17.2792             
64,    30,           4434.0,       147.800,        39.573,         17.234              
65,    30,           3717.0,       123.900,        34.038,         17.4886             
66,    30,           2306.0,       76.867,         39.540,         16.7284             
67,    30,           6907.0,       230.233,        35.165,         16.5608             
68,    30,           7114.0,       237.133,        36.528,         16.2211             
69,    30,           5311.0,       177.033,        39.290,         16.8269             
70,    30,           7924.0,       264.133,        42.885,         16.3855             
71,    30,           4877.0,       162.567,        31.886,         17.0475             
72,    30,           6540.0,       218.000,        46.722,         16.9979             
73,    30,           1188.0,       39.600,         28.188,         17.3039             
74,    30,           6467.0,       215.567,        56.950,         17.376              
75,    30,           6813.0,       227.100,        43.408,         17.6267             
76,    30,           2939.0,       97.967,         30.914,         17.3506             
77,    30,           7775.0,       259.167,        25.418,         16.8647             
78,    30,           5240.0,       174.667,        42.586,         16.7643             
79,    30,           4411.0,       147.033,        23.404,         16.7599             
80,    30,           1896.0,       63.200,         20.927,         16.7936             
81,    30,           4698.0,       156.600,        48.414,         16.6455             
82,    30,           7883.0,       262.767,        22.479,         16.7421             
83,    30,           6112.0,       203.733,        49.872,         16.3453             
84,    30,           7604.0,       253.467,        30.729,         16.3046             
85,    30,           4330.0,       144.333,        32.865,         16.3758             
86,    30,           6252.0,       208.400,        46.949,         16.2598             
87,    30,           5456.0,       181.867,        32.909,         16.8924             
88,    30,           4428.0,       147.600,        39.148,         17.3219             
89,    30,           3951.0,       131.700,        52.115,         17.1296             
90,    30,           7691.0,       256.367,        54.008,         16.8832             
91,    30,           4792.0,       159.733,        51.348,         16.4251             
92,    30,           6890.0,       229.667,        45.528,         16.4613             
93,    30,           7996.0,       266.533,        30.901,         16.3997             
94,    30,           3942.0,       131.400,        34.951,         15.9354             
95,    30,           7439.0,       247.967,        50.895,         16.0493             
96,    30,           6860.0,       228.667,        37.789,         16.4453             
97,    30,           5307.0,       176.900,        44.319,         16.1883             
98,    30,           8003.0,       266.767,        40.761,         16.1197             
99,    30,           3851.0,       128.367,        36.024,         16.5162             
100,   30,           4928.0,       164.267,        41.792,         16.3694             
101,   30,           6378.0,       212.600,        61.591,         16.5447             
102,   30,           3417.0,       113.900,        28.322,         16.8576             
103,   30,           7503.0,       250.100,        33.794,         16.7701             
104,   30,           1016.0,       33.867,         23.265,         16.9455             
105,   30,           7851.0,       261.700,        31.844,         16.5226             
106,   30,           5126.0,       170.867,        47.409,         16.0775             
107,   30,           5355.0,       178.500,        37.415,         15.6652             
108,   30,           7037.0,       234.567,        49.545,         15.6672             
109,   30,           5571.0,       185.700,        51.042,         15.6717             
110,   30,           6686.0,       222.867,        32.988,         16.0417             
111,   30,           6883.0,       229.433,        39.798,         15.9443             
112,   30,           6549.0,       218.300,        55.976,         15.9029             
113,   30,           4873.0,       162.433,        36.810,         15.7402             
114,   30,           3150.0,       105.000,        34.234,         16.0079             
115,   30,           6003.0,       200.100,        53.589,         16.0614             
116,   30,           6853.0,       228.433,        41.518,         16.073              
117,   30,           5944.0,       198.133,        38.220,         16.3215             
118,   30,           7640.0,       254.667,        39.921,         16.3388             
119,   30,           3070.0,       102.333,        22.019,         16.4267             
120,   30,           4389.0,       146.300,        22.826,         16.7487             
121,   30,           5051.0,       168.367,        39.248,         16.3578             
122,   30,           8208.0,       273.600,        25.423,         15.9009             
123,   30,           5702.0,       190.067,        40.106,         15.9121             
124,   30,           150.0,        5.000,          8.177,          15.8315             
125,   30,           6036.0,       201.200,        52.084,         15.8293             
126,   30,           5166.0,       172.200,        38.928,         15.5737             
127,   30,           5399.0,       179.967,        43.189,         15.8681             
